UUID, brand, product
b0c245e2-47c3-4001-a8fa-22873c5af8c4,Volvo,C30
8be653a3-4b74-4d90-b641-03b77cb6f3e0,Chrysler,LeBaron
c4fb71f0-5415-4b5f-9e42-be07eb63a561,Suzuki,Daewoo Lacetti
0e18f490-dc6b-4ef3-a870-0191a0b71141,Suzuki,Verona
f9445936-a2e9-4538-af78-d8dd1e0c4a03,Saturn,L-Series
7470392e-f9f9-43c3-bf7f-2fe77770a480,Buick,Roadmaster
35bb2ea5-6dc5-4bfd-bd98-8ce051aec9fd,Mercury,Mountaineer
f8549102-73c6-4edf-a71e-48d6fd8a2a00,Audi,A8
dc38c4f3-a717-4335-a1b5-46f88c672bcc,Kia,Spectra
7d95545a-fb21-45e9-9e46-f422a1cb14b8,Hyundai,Sonata
5d4cbac3-1445-4a03-b230-b7e8bf0c9f0e,Subaru,Tribeca
1fe34337-010d-447c-8b1f-2e3eef31a3a6,Volkswagen,Rabbit
ae30056f-15ae-441a-aa96-f361920bcd02,Subaru,Impreza
8ac0c8f9-dfd0-4632-b4e6-fabeded24347,Suzuki,XL7
e4509b50-8bb2-402e-aa44-4d4382031d8e,Toyota,Sequoia
38634f3a-dca4-460f-a67e-5a566ca1c562,Suzuki,Reno
81896f6b-eed8-4aca-9df1-4a53982d6965,Dodge,Ram
03a780a3-1d62-42f0-91d7-5c1280cda185,Bentley,Brooklands
c91d20ab-12c5-4ed0-be86-aedee6745b90,Toyota,Supra
38d6da30-c029-4858-9159-571c35e9e124,Toyota,Sienna
96c4797d-d247-4078-b3fc-cdabb4ee8f1f,Chevrolet,G-Series G10
cfa33d6a-0564-41be-a9bb-1f9b392fdd3c,Nissan,Armada
9c96ce0e-4aa2-4dfa-bbc4-79a4e795f011,Oldsmobile,88
131f8d28-f7af-430f-937f-a7cb4f206125,Toyota,Prius
5b52cd74-9249-4b04-84da-9c61b0996b61,Lotus,Elise
2ec9eda5-fdfc-4084-a377-e3a10b0d71e5,Aston Martin,DBS
4ed75138-0e57-4546-a6f1-7e7cf3f59fac,Chevrolet,Silverado 2500
0a53ddde-a0a3-47c8-9c04-daa260258654,Hyundai,Tucson
9b0a4eac-cf47-41a2-8cec-4ef98b28ba4c,Dodge,Ram Van 1500
17b5cf73-6bdd-4d60-8399-b8cea3cfa2d0,Ford,Expedition
08a1c684-15ef-4067-88dc-52230d30f056,Chevrolet,Silverado 3500
f530282b-56c4-4294-a8e5-3549353201e0,Buick,Lucerne
506387cf-c3c2-4126-8d36-fe0011d1cf98,Cadillac,SRX
eff8d238-eb52-4077-9f03-ac667c2a8192,Lexus,SC
fbdb1bd7-8aaa-42f5-a398-4335e71eb3dc,Honda,Insight
b419ccf8-caea-4f9f-b328-fe962329af3f,Dodge,Dakota
15ba994e-3765-4321-8169-a4d16edef7eb,Mitsubishi,Diamante
54bc0caa-6164-4784-b306-b4f3b7e22ea0,Subaru,B9 Tribeca
6a498298-06b4-4148-9633-4473fef07fdf,GMC,Sonoma
c47b0be2-1200-4a5e-b688-e27fbd561620,Audi,Cabriolet
c7f314d4-5640-4084-b0eb-a595fecada10,Maserati,GranTurismo
b8a7be1e-a832-4b4c-ac26-90926036ed0c,BMW,745
7a85f414-1377-4c9e-9fdb-f77368a7793a,Nissan,Maxima
4f77f853-329f-4047-860c-54bd6c525350,Lincoln,Town Car
dea9c076-19c1-49a9-88e1-5b4e136a4a23,Chevrolet,Avalanche 2500
7a6ee450-a2cc-4cca-ae45-132cfd70d074,Kia,Borrego
cdfcb109-b42a-4698-ac19-201cf34da959,Mitsubishi,Cordia
46af062b-e61e-4822-85d2-9472e2477508,Suzuki,Swift
76be3356-44c0-4061-9a55-46c82222c7ab,Infiniti,G
23648cf5-ecee-4d19-a9c4-f27e0db3800a,Saturn,Aura
76287ee5-8075-49d3-b018-ffc9f8136ecc,Hyundai,Elantra
3cd453e8-fd47-4b6a-bc90-fb01d0f8ca1d,Porsche,Cayman
bfd51202-d501-4844-bbf5-5e85928a3f0e,Honda,Odyssey
8ba7dddb-58f5-495b-bd21-da20ce6b66d0,Porsche,Boxster
3eb4540b-fbd5-4fcb-ac9a-1c0dc8562e08,Geo,Tracker
225d6897-13aa-4b29-9593-86e534e329b4,BMW,7 Series
35453f88-1434-4d99-bd94-d91cfea3f522,Nissan,Xterra
bea92a5a-4009-4786-8bd7-97c066f0d5f7,Mitsubishi,Challenger
fc475d61-717f-427b-8936-f6f12fcf4a44,Oldsmobile,Silhouette
afba63cd-72eb-4b15-a1d2-95fec89d0d57,Nissan,300ZX
21c3a3d1-8745-4939-8d07-1de9d48f707f,Volvo,XC90
73d0a672-6e0c-455c-949e-80788abff4db,Nissan,Sentra
ecb39888-f014-4c7e-aa49-0ca7260464c9,Chevrolet,Beretta
efffc5f7-bb64-4f10-9cee-355f72747dcd,Ferrari,612 Scaglietti
e9e709a3-d3c7-43cd-b2a2-c268ddf09d03,Jeep,Grand Cherokee
35377348-b3a9-46ee-9661-d6f32330d0e3,Mitsubishi,Galant
816bd8cf-1f3c-48c7-bdb4-eccc52a799fc,Scion,xD
61a72f4d-bfae-4f3b-b5f7-4393e9a269c7,Lexus,IS-F
a90f808b-1582-4bb3-9fef-6b4793d8a4bb,Toyota,Paseo
f6f48597-51bc-4996-8c13-784ddfd21045,GMC,Sonoma Club Coupe
b21362d4-7627-403c-8cb7-5f6f65a51c22,Hyundai,Azera
100c8883-7184-4b15-b48f-5d8bdc731bed,Honda,Prelude
99fcdcbe-77bc-4bae-9e4f-13c0213f7965,Chrysler,Town & Country
693dd172-e571-46d8-9c82-b60e8ab4235b,Subaru,Brat
606ad511-0fb7-416f-8d65-a394be8f975a,Toyota,Echo
97c8e27f-fa46-49b3-b46f-26645c9f605e,Chevrolet,Impala
62837c81-3316-45f5-b23b-f01aa99f3fd7,BMW,Z4
986d9f2f-4c6b-49e1-8899-aaeedf149f22,Pontiac,Grand Am
cc1b1f85-8a0c-4587-bfea-ccab2a2459fc,Maybach,Landaulet
5b1ba196-2a9a-45a7-b963-95c5c8a32139,Nissan,Frontier
3079f26f-c4e2-428b-87be-9281e2ecf321,Suzuki,SJ 410
64a538a4-d93e-4e72-b63b-058d491c7576,Dodge,Ram 2500
0e691d05-2960-4c52-b680-3ba4ab7ba490,Chevrolet,Blazer
35163e13-9ffc-43e1-8e50-7a8de9b8f2e9,Mercedes-Benz,SLS-Class
314aa4c7-9c06-4188-9589-6f3ec7898da9,Geo,Prizm
e83ec879-1d4b-4c1c-9a72-2d82eb29e55f,Suzuki,Esteem
1c2583b2-f582-4f0b-903b-f0315c1f359c,Ram,1500
aa8e2541-bd4b-495a-9a11-84d4e7850206,GMC,Yukon
0fb316bc-28a3-4403-a1c0-1c8bffcc27b3,Volkswagen,Touareg 2
58ce3d95-1df0-442e-abad-29627026daf2,Ford,Th!nk
06cbcec2-9500-43dc-a828-8a01a68146dd,Mercedes-Benz,C-Class
27297a9e-40cb-4657-b355-75c78e4ba353,Kia,Rondo
8f6f51da-c1d3-4c89-a21c-d755fb7e917a,Subaru,SVX
54946369-3256-456e-8b70-7a4e929f6bc6,Chevrolet,Camaro
91696bde-2a26-471b-8e69-ee3e9f3f2840,Lexus,IS
2000f47d-dbcf-4ec7-99ed-d3623b1b0c42,Audi,A3
5a850802-2033-46ac-97ce-ef706dca11c8,Ford,Escape
fc7eb45e-1f78-4f20-878a-f95812b1e8bf,Bentley,Continental
14684b28-3380-4cf4-9952-df21dd0b93e8,Mitsubishi,Pajero
41c894e6-b078-469f-85e0-26b330a7c09b,Mazda,626
b1d8a5b7-75f5-4524-9e69-079f8d3fc8df,Toyota,Camry
9271083a-ab43-4539-ab13-5847179d3c51,Toyota,Venza
6931a991-1fb9-499d-825f-86b785687fae,Saab,900
5afb6588-a15f-443c-832f-7af0368da5ec,Porsche,911
92bc50b6-4960-4d70-b74a-3af70fe0e0f3,BMW,530
f0392ec9-d158-46de-af39-25e40d99fe86,Ford,E350
f1498a27-59ac-44b7-8bdd-7b62abefbd99,BMW,M
f7168ae9-8f6b-44c8-91cb-1d7199ce0f96,Chevrolet,1500
36af17b9-e1c3-4930-b694-6917255abb83,GMC,Sierra 2500
b0d046d0-7de0-47d9-b841-8f9050388f10,Kia,Rio
dbaad5f7-40d7-4991-a4b4-895e1524cf14,Pontiac,GTO
1f14a281-2ad9-4ea9-bcc4-b3bf1f651132,Chevrolet,Monte Carlo
d518c507-c07f-44da-8292-83083ad63b3f,Cadillac,Seville
c0813055-b459-4970-90e9-cc90662de763,Alfa Romeo,Spider
79015f6a-ce98-46f8-a538-488236d32daf,Ford,Explorer
aa0391b8-b7ca-4fb8-96bc-a19859c681fb,Mercedes-Benz,300CE
83cc7619-4ac0-4851-891c-19530cb38768,Lexus,LX
8049040c-93eb-4a60-951a-c28a53a92527,Ford,Econoline E150
42599e1e-9a7f-43f5-a28a-e388ec2c7c32,GMC,Rally Wagon G3500
e8e2e1c7-b0cf-4c8a-9f4a-bf5f867bfbdd,Mazda,Mazdaspeed 3
1feda572-b2ab-4d3e-9a0e-0cbf4e47012a,Dodge,Charger
967a32a4-b5b5-4c0b-8877-09f62ac27af4,Toyota,Truck Xtracab SR5
9ca43605-0e9a-421f-b2f5-20fb79698198,Infiniti,M
c21a4d69-673c-4ee5-8cae-ecf70ad7bcff,Volvo,960
f22639b4-22bd-4d61-b9de-848b96962356,Audi,100
052a4271-5c38-4c02-bf8a-d5cc0ae91f15,Pontiac,LeMans
ea045f46-9ec5-4b5d-b10c-16b478dcc760,Acura,CL
21de71a4-ae18-4265-8780-8fbb06ef9a32,Nissan,NX
fbf2a7ea-4a01-4a7a-b20f-af5404fd6926,Toyota,FJ Cruiser
bc2e0003-c5f6-4c68-97a7-52306d563596,Maserati,Spyder
55cd0a18-aa95-4a52-99ac-6e3dab30fb56,Chrysler,Concorde
60e74656-6542-4624-96dc-6b2597e7d32f,Mazda,Protege
64989bb8-4b79-4b40-aa36-eb64dfb32d1f,Buick,Regal
fd818c8f-130a-45de-9787-a2ec4b120d4b,Bentley,Continental Flying Spur
fc83a669-e9c6-4339-8efe-4fa7f399923f,Chevrolet,HHR
ce27b9ab-3cd0-4676-8078-01b63c40f44b,Volkswagen,Passat
e3133d75-5a4a-4457-aab8-2a1d1e3f7a12,Pontiac,Chevette
750dedd7-2efa-484a-9679-18cbc8c9d8e7,Cadillac,CTS
ab31bc23-2e22-4749-8bf4-78ecae4efbd9,Dodge,Ram 1500 Club
246bf03a-4d7e-474d-aebd-e46531edb5af,Land Rover,Discovery
2281b0fb-5958-4f64-820d-dffdd25e9711,Jeep,Cherokee
79535591-166f-4c0a-b213-90d614b03428,Isuzu,Rodeo
ff26ea47-6cd0-472e-a957-1dcfa38bf171,Dodge,Ram 3500
022ee186-9ce9-4883-a88b-f647ff6ebf60,Mazda,B-Series Plus
e3668947-b7cc-4bb8-abc1-356a73fe6200,GMC,Envoy
c4cdb7c8-3ce2-4d65-a263-903267205ef3,Lexus,RX
5b193080-51d3-409f-934b-e3a8a8672753,Hyundai,XG350
a220f7e5-9c06-41fe-88f7-8ba8069488f5,Mitsubishi,RVR
cfd449af-6fac-4a1a-b547-ff96c6552640,Cadillac,Catera
fe18b34c-9ce3-4d2b-9233-196a5d42278b,Mazda,Familia
6f72d16f-42f0-4401-bf17-958a24687f14,Volvo,V70
6acd7e98-c0fb-4865-b0aa-d1876572cd99,BMW,M Roadster
2c659afb-ed7f-4c24-a4ce-ddb906afb513,Mercedes-Benz,CL-Class
f964d2ff-c221-48d4-a2b2-001e4c6d12a0,Subaru,Justy
079c9bcb-79eb-4ebd-87fb-f6ca8f507070,Dodge,Stratus
ff3589ba-323d-4b65-8c46-a994bf28603c,Toyota,Prius v
44ea1c22-c033-441c-bef0-1a5b063aa762,Mazda,MPV
aaac143b-d20f-4f1c-a054-31978754440b,BMW,1 Series
37c33cab-f417-47ba-ab51-60bec2e138d3,Hummer,H3
777fbdeb-900e-4cd9-adcf-a7f13a2c8b4a,BMW,X3
24d43864-5e39-47d9-b9c9-8972e7049fcf,Kia,Sephia
70340c1e-d3ba-468b-b3fb-fcd4fef4e1e0,Chrysler,Fifth Ave
d7aca03e-0f69-4130-9933-4c21e7e7761d,Cadillac,DeVille
705a9395-3492-42c9-8a84-bf03e448657f,Mazda,MX-5
86265da3-7d42-4dec-abff-0c2936d60f0d,Buick,Century
fe461c5a-b483-49bf-b1ac-f4bd3e724169,Mitsubishi,Outlander
1cbd817b-da7e-4a4c-84d0-0010d5341d2c,Audi,TT
669edcf1-a3d7-4eeb-99f5-d87675a58a58,BMW,X6
3c9e5079-0247-4661-b53c-f5cdb26c6f6d,Suzuki,X-90
6ec26676-90b7-496a-856c-75f16357a394,Ford,Thunderbird
b2cf183b-8711-47ca-9385-5e5d015c5393,Chrysler,200
6e036600-fb3e-489a-810f-d244c2926746,Mitsubishi,Chariot
b2c5392e-a11c-4ce7-8615-f78d9fd8ed6b,Dodge,Dakota Club
a2a9aae5-15db-46e3-b9c2-9a545d933c4c,Mazda,929
21987d25-ce4a-4a5c-9122-412304e33976,Volkswagen,Eurovan
b92eb3d7-30e8-4784-80b1-ce96f4e73216,Subaru,Outback Sport
1ca165ef-862d-4c54-8f36-80333c658113,Audi,Q7
854a3fc0-c1e8-4cbf-a1b1-a4e0b2a94961,Chrysler,LHS
13851932-b887-4e59-b200-e82f34ec5be2,GMC,Vandura 1500
4d3c1bb7-be4d-4289-85a9-2326990ce087,Lincoln,Navigator L
bcf80ff5-2a75-4a11-ac8b-c52853c1e845,Volkswagen,Eos
696df2aa-fc68-4577-ae1b-3659a43e8ff5,Scion,xB
2b4f6622-0a99-46f5-8fbf-00b367c6f49a,Land Rover,LR4
dae4c78d-39af-4fe9-b359-28d6c62657d5,MINI,Cooper
0f7da102-3d8d-4a99-ab6a-c162ad3e4b09,Volvo,S70
fc62b615-a01b-47ed-87da-fee61e9b7b70,Chrysler,Sebring
306b2080-6cc9-4669-ba1f-1eb8915aeee1,Bentley,Continental GT
ef607754-3551-4824-ba6e-3c05eb5dcd2f,Chevrolet,Venture
a8ce836b-49c7-41af-911a-c9377b76c9cf,Chevrolet,Tahoe
46e52d0e-16f5-404e-a7c9-b272bceac558,Chevrolet,Lumina
a1c201c3-801b-4a7b-8718-8e75425f4009,Mazda,323
049e0c5f-bbf0-495c-8167-15ad65783682,Dodge,Intrepid
7b7cb613-a2ae-450e-bcbc-f96f0427aa5a,Buick,Terraza
ca306ed9-41c4-4a61-8130-5b6c4b0d7f7e,Aston Martin,Vantage
7c15eb81-7b63-4f29-8938-b77f22454eb8,Mitsubishi,Montero
3def1c66-16ad-4fc8-b576-b7d0bcefe3c0,Mitsubishi,Tundra
297a469e-ddd5-4672-b9ad-24ce799569d0,Pontiac,Monterey
3b5f9eab-2a24-4c2c-b34b-dd768f7823df,Hyundai,Accent
ba857862-b3d6-449f-b819-ef8643e8d8b3,Audi,RS4
f62a3907-b026-4f00-9a2f-e3a3ad2865c3,Ford,E150
2ad58274-52aa-487a-ba11-38cc4922c4e0,Pontiac,Firefly
e975dfb0-3c18-41e2-90e8-922076a6a63e,Ford,Lightning
44fbb319-537e-47b5-8be7-833f09c05f41,Dodge,Ram 1500
6c88b235-4985-44f3-ab56-9fd6e3bd8184,GMC,Suburban 2500
349f447a-acf1-43e0-986c-a779763f37aa,Mercury,Capri
0923d62a-941f-49d2-ac72-a01ac014a3c0,Dodge,Neon
9d9039e0-8acb-4166-aae9-88c6db798bf3,Buick,Rainier
0d31ba5d-1603-4d38-bd5a-8537bb0f764d,Mercury,Mariner
7e9803cb-4e49-4e5b-92de-2a4bd608aea5,Chevrolet,Corvette
904eb1c2-9fc7-453f-99ce-7beaa5bd1994,Mazda,MX-6
6c64d198-5a56-4d78-bec7-6c18fa38274f,Ford,Aspire
ff80e478-25ca-4fbb-908e-029bdedba03c,Suzuki,Grand Vitara
35009e7c-0dba-432d-b1fa-0f9dee7f6888,Bugatti,Veyron
5ae24388-69eb-4faf-8006-456c2f89b8b3,Honda,Civic
57e4b138-1fd0-4dc1-9b44-bd5a56a7810b,Saturn,Ion
cc20c1a9-fdad-4dac-8a70-755783cfd0e3,Nissan,Rogue
b3cf1fd7-140e-410b-84cb-b0bbaf32afdc,Toyota,Yaris
fd8c691d-9730-45bb-859d-0f6d2d7cd415,Mercury,Lynx
9c237e82-4c9f-428a-9af4-4e36b9cfdc3c,Chevrolet,Malibu
f31e33c8-e887-4f3b-9bc4-a1bba1c20d51,GMC,Rally Wagon G2500
543e1d97-8a3a-4732-8e75-cda5e5d8cb2f,Mercedes-Benz,G-Class
6cc3ceef-0e7b-4f26-950d-e23549fb1835,Ford,Probe
5abff5c1-1b81-4e06-9d08-257ecde966e1,Pontiac,1000
73a3acde-0f32-4d27-b667-65492ae2fd2c,BMW,X5
19af36df-3f90-46d7-9437-4df5cba801d4,Rolls-Royce,Phantom
a0cc2d74-7db4-4c40-b867-1baee5a5c7ad,Chevrolet,Express
3282df96-7e66-4702-8f3a-013c35a03a59,Honda,Accord
2f2cf846-a370-4362-b5bf-3c65f222210f,Dodge,Viper
eecf86b6-5d87-429f-bd55-f45cb424bbdc,Toyota,4Runner
96c12085-76c7-424d-8bc1-5016215631df,Dodge,Viper RT/10
898e8449-fb76-4b88-9228-df03047655f5,Aston Martin,DB9
a1785958-4159-4b7f-87e8-c5324832a57b,Plymouth,Neon
af80241b-d987-45d2-972e-dfb210e02a28,Jaguar,XF
71a07d57-dd17-41f9-b97e-af516f96403e,Dodge,D150
1a4ccd15-c2b2-4fd6-a58c-0c30572fe90f,Subaru,Baja
ec769095-a329-474b-908e-41d33505817a,Suzuki,Sidekick
f4e0ed51-20aa-4761-a1da-fdaf60630bcb,Pontiac,Grand Prix
50f9eae8-776c-4485-b61c-94509cf62aea,Mazda,Millenia
4e4be9d1-9139-4d47-aa9f-e7fafb4ecc67,Buick,Park Avenue
f401fa52-f12c-4ef2-8e42-139bf1f1140c,Daewoo,Nubira
537614d3-1c19-4f24-bcad-4c468c08ddc9,Suzuki,SX4
389941d6-dd88-493b-bfdd-6a43a3a8e67c,Mazda,B-Series
d52ed557-787f-4230-b032-5cfb3d450203,Plymouth,Colt Vista
5c3a0a6c-8d67-4964-a0c7-b8ac7215e592,GMC,Savana 1500
186a2352-4994-4fef-96a8-1069e9eef7d5,Ford,Flex
0ec478b0-f98d-4a96-ba3b-423a7faca37c,Maserati,Quattroporte
f862d452-8431-421c-bb37-f6bf0bfd21a9,Subaru,XT
d8b6b142-a366-4707-a975-a69e44368389,Jeep,Wrangler
b8025626-ff99-43be-aec9-ecfa6000d1f1,Toyota,Celica
a369cd02-993e-4768-bd58-a4d37643da31,Mitsubishi,Lancer Evolution
eba019cd-f5a0-4721-b922-bda2284d45e7,Mercedes-Benz,S-Class
0672fb06-1e57-4384-ab34-31658ea62596,Mercury,Grand Marquis
6bfa25cc-6304-4021-b4cb-6ff429348edf,Porsche,928
bdf977dc-83aa-497c-8fa7-6ae9425fd629,Volkswagen,CC
1369ca81-822e-4e7b-a5b0-61471c9f9018,Ford,Taurus
6d473987-5a89-4ff0-92ea-bc3469b6731c,Chrysler,300M
543ed8c1-78fd-4776-a310-2dbf1daa45be,Mercury,Cougar
499d46c9-446c-419c-93a7-ec925ca5b0e4,GMC,Safari
8e2fe29f-0f23-43ef-9dc0-52da45a2e314,Mercedes-Benz,300SD
